Street Details,Floor Level,Gate Level,Road Centre,Latitude,Longitude
33 Cathcart Street EAST LISMORE,12.39,10.05,10.45,-28.8149835,153.2794645
34 Cathcart Street EAST LISMORE,12.2,10.77,10.81,-28.8153582,153.2798504
35 Cathcart Street EAST LISMORE,12.2,10.27,10.68,-28.8150788,153.2793756
37 Cathcart Street EAST LISMORE,11.93,10.34,10.81,-28.8151779,153.279318
38 Cathcart Street EAST LISMORE,14.38,11.54,11.47,-28.815593,153.2797772
39 Cathcart Street EAST LISMORE,12.12,10.66,11.2,-28.8153128,153.2793045
41 Cathcart Street EAST LISMORE,12.55,11.17,11.85,-28.8154144,153.2792105
42 Cathcart Street EAST LISMORE,15.45,13.08,12.63,-28.8157857,153.2796348
45 Cathcart Street EAST LISMORE,12.26,11.61,12.28,-28.8155581,153.279026
49 Cathcart Street EAST LISMORE,13.51,13.42,14,-28.815767,153.2789246
55 Cathcart Street EAST LISMORE,13.51,13.42,14,-28.8161129,153.2786781
1 Clarice Street EAST LISMORE,11.19,9.97,10.13,-28.8154911,153.2850216
2 Clarice Street EAST LISMORE,12.19,10.04,10.19,-28.8157157,153.2853962
3 Clarice Street EAST LISMORE,12.94,10.08,10.19,-28.8156769,153.2849643
4 Clarice Street EAST LISMORE,12.41,10.08,10.32,-28.8158815,153.2853598
5 Clarice Street EAST LISMORE,12.42,10.12,10.32,-28.8158482,153.2849107
6 Clarice Street EAST LISMORE,12.57,10.13,10.41,-28.8160461,153.2853324
7 Clarice Street EAST LISMORE,12.65,10.14,10.41,-28.816018,153.2848945
8 Clarice Street EAST LISMORE,12.72,10.18,10.46,-28.8162473,153.2852996
9 Clarice Street EAST LISMORE,13.17,10.28,10.46,-28.8161811,153.2848399
10 Clarice Street EAST LISMORE,13.36,10.24,10.51,-28.8164807,153.2854057
11 Clarice Street EAST LISMORE,12.79,10.23,10.51,-28.8163737,153.2848473
12 Clarice Street EAST LISMORE,12.25,10.28,10.53,-28.8166021,153.285233
13 Clarice Street EAST LISMORE,12.41,10.31,10.53,-28.8165385,153.2848017
15 Clarice Street EAST LISMORE,12.51,10.32,10.56,-28.8167317,153.2847508
16 Clarice Street EAST LISMORE,12.05,10.3,10.55,-28.8167625,153.2852457
18 Clarice Street EAST LISMORE,13.02,10.38,10.65,-28.8169512,153.2851701
24 Clarice Street EAST LISMORE,12.4,10.51,10.83,-28.817322,153.2851156
26 Clarice Street EAST LISMORE,12.59,10.49,10.86,-28.8174934,153.2850677
27 Clarice Street EAST LISMORE,12.86,10.68,10.91,-28.8175772,153.2845653
28 Clarice Street EAST LISMORE,12.66,10.57,10.87,-28.8176645,153.2850381
32 Clarice Street EAST LISMORE,12.69,10.67,10.96,-28.8178534,153.2849859
34 Clarice Street EAST LISMORE,12.74,10.73,11,-28.8180591,153.2849611
2A Clarice Street EAST LISMORE,12.17,10.07,10.13,-28.8155373,153.2854306
1 Colleen Street EAST LISMORE,11.2,10.47,10.287,-28.8274304,153.2946034
3 Colleen Street EAST LISMORE,11.2,10.47,10.287,-28.8274367,153.2944067
4 Colleen Street EAST LISMORE,11.268,10.434,10.218,-28.8277921,153.294368
5 Colleen Street EAST LISMORE,11.424,10.626,10.394,-28.8273955,153.2941269
7 Colleen Street EAST LISMORE,11.618,10.644,10.341,-28.8274082,153.2938914
9 Colleen Street EAST LISMORE,11.438,10.644,10.341,-28.8276107,153.2939274
11 Colleen Street EAST LISMORE,11.297,10.618,10.255,-28.8277784,153.2939135
13 Colleen Street EAST LISMORE,11.293,10.491,10.089,-28.8280212,153.2939551
15 Colleen Street EAST LISMORE,11.274,10.148,9.967,-28.8282474,153.2939977
17 Colleen Street EAST LISMORE,11.139,10.339,10.035,-28.8283801,153.2939974
18 Colleen Street EAST LISMORE,11.097,10.111,9.767,-28.8287351,153.2945157
19 Colleen Street EAST LISMORE,10.063,10.233,10.035,-28.8287564,153.2940282
20 Colleen Street EAST LISMORE,10.775,10.1,9.888,-28.8289062,153.2945348
22 Colleen Street EAST LISMORE,11.426,10.334,9.879,-28.8290763,153.2946593
23 Colleen Street EAST LISMORE,11.306,10.271,9.993,-28.8291396,153.2940868
26 Colleen Street EAST LISMORE,11.603,10.221,9.993,-28.829324,153.2945674
27 Colleen Street EAST LISMORE,11.812,10.221,9.993,-28.8297108,153.2946149
28 Colleen Street EAST LISMORE,11.603,10.221,9.993,-28.8295271,153.2948785
25A Colleen Street EAST LISMORE,11.793,10.221,9.993,-28.8295762,153.2941602
84 College Street EAST LISMORE,11.161,10.753,10.615,-28.8266116,153.2953406
85 College Street EAST LISMORE,11.62,10.765,10.601,-28.8266253,153.2947929
86 College Street EAST LISMORE,11.471,10.784,10.533,-28.8268844,153.2953024
88 College Street EAST LISMORE,11.471,10.784,10.533,-28.8268844,153.2953024
90 College Street EAST LISMORE,11.442,10.427,10.388,-28.8269442,153.2955799
92 College Street EAST LISMORE,11.207,10.427,10.388,-28.8273755,153.2954959
94 College Street EAST LISMORE,11.671,10.499,10.353,-28.8272053,153.2951682
